"Date","year","month","food_bank_usage","num_of_bankruptcies"
2018-01-01,2018,"Jan",62550,12
2018-02-01,2018,"Feb",57685,14
2018-03-01,2018,"Mar",66600,18
2018-04-01,2018,"Apr",60369,13
2018-05-01,2018,"May",68158,25
2018-06-01,2018,"Jun",60402,14
2018-07-01,2018,"Jul",60009,18
2018-08-01,2018,"Aug",67023,15
2018-09-01,2018,"Sep",61799,17
2018-10-01,2018,"Oct",70705,17
2018-11-01,2018,"Nov",71764,15
2018-12-01,2018,"Dec",62755,11
2019-01-01,2019,"Jan",68534,12
2019-02-01,2019,"Feb",59733,11
2019-03-01,2019,"Mar",72726,21
2019-04-01,2019,"Apr",67523,20
2019-05-01,2019,"May",74752,21
2019-06-01,2019,"Jun",67604,4
2019-07-01,2019,"Jul",70286,12
2019-08-01,2019,"Aug",66604,14
2019-09-01,2019,"Sep",68340,17
2019-10-01,2019,"Oct",77584,9
2019-11-01,2019,"Nov",70689,14
2019-12-01,2019,"Dec",56922,10
2020-01-01,2020,"Jan",71011,14
2020-02-01,2020,"Feb",68254,8
2020-03-01,2020,"Mar",76135,15
2020-04-01,2020,"Apr",79901,16
2020-05-01,2020,"May",85293,22
2020-06-01,2020,"Jun",84123,9
2020-07-01,2020,"Jul",100903,12
2020-08-01,2020,"Aug",98808,13
2020-09-01,2020,"Sep",106415,19
2020-10-01,2020,"Oct",109699,16
2020-11-01,2020,"Nov",99659,10
2020-12-01,2020,"Dec",108709,16
2021-01-01,2021,"Jan",106160,14
2021-02-01,2021,"Feb",102874,3
2021-03-01,2021,"Mar",123128,11
2021-04-01,2021,"Apr",113910,8
2021-05-01,2021,"May",112708,2
2021-06-01,2021,"Jun",124234,9
2021-07-01,2021,"Jul",113980,9
2021-08-01,2021,"Aug",112391,11
2021-09-01,2021,"Sep",116626,14
2021-10-01,2021,"Oct",116278,19
2021-11-01,2021,"Nov",126820,10
2021-12-01,2021,"Dec",120588,24
2022-01-01,2022,"Jan",111231,16
2022-02-01,2022,"Feb",127837,18
2022-03-01,2022,"Mar",160290,13
2022-04-01,2022,"Apr",143671,13
2022-05-01,2022,"May",151758,11
2022-06-01,2022,"Jun",171631,15
2022-07-01,2022,"Jul",153990,13
2022-08-01,2022,"Aug",182269,16
2022-09-01,2022,"Sep",186103,16
2022-10-01,2022,"Oct",188920,11
2022-11-01,2022,"Nov",208108,27
2022-12-01,2022,"Dec",184804,24
2023-01-01,2023,"Jan",209773,20
2023-02-01,2023,"Feb",215848,18
2023-03-01,2023,"Mar",267379,20
2023-04-01,2023,"Apr",227540,16
2023-05-01,2023,"May",270019,22
2023-06-01,2023,"Jun",266819,25
2023-07-01,2023,"Jul",239653,12
2023-08-01,2023,"Aug",274851,10
2023-09-01,2023,"Sep",246125,19
2023-10-01,2023,"Oct",252092,30
2023-11-01,2023,"Nov",284286,40
