Measure Name,Year,Period,Value
Food Bank Usage ,2007,Jan,51428
Food Bank Usage ,2007,Feb,48163
Food Bank Usage ,2007,Mar,56092
Food Bank Usage ,2007,Apr,51555
Food Bank Usage ,2007,May,57977
Food Bank Usage ,2007,Jun,54200
Food Bank Usage ,2007,Jul,56776
Food Bank Usage ,2007,Aug,58353
Food Bank Usage ,2007,Sep,55238
Food Bank Usage ,2007,Oct,56870
Food Bank Usage ,2007,Nov,59633
Food Bank Usage ,2007,Dec,48756
Food Bank Usage ,2008,Jan,58786
Food Bank Usage ,2008,Feb,54487
Food Bank Usage ,2008,Mar,58322
Food Bank Usage ,2008,Apr,63400
Food Bank Usage ,2008,May,60700
Food Bank Usage ,2008,Jun,58700
Food Bank Usage ,2008,Jul,61300
Food Bank Usage ,2008,Aug,56700
Food Bank Usage ,2008,Sep,60300
Food Bank Usage ,2008,Oct,67500
Food Bank Usage ,2008,Nov,66600
Food Bank Usage ,2008,Dec,61100
Food Bank Usage ,2009,Jan,64900
Food Bank Usage ,2009,Feb,65800
Food Bank Usage ,2009,Mar,71400
Food Bank Usage ,2009,Apr,72000
Food Bank Usage ,2009,May,71600
Food Bank Usage ,2009,Jun,72900
Food Bank Usage ,2009,Jul,76300
Food Bank Usage ,2009,Aug,70000
Food Bank Usage ,2009,Sep,75400
Food Bank Usage ,2009,Oct,77900
Food Bank Usage ,2009,Nov,75000
Food Bank Usage ,2009,Dec,67000
Food Bank Usage ,2010,Jan,69200
Food Bank Usage ,2010,Feb,71800
Food Bank Usage ,2010,Mar,72700
Food Bank Usage ,2010,Apr,70000
Food Bank Usage ,2010,May,67700
Food Bank Usage ,2010,Jun,68300
Food Bank Usage ,2010,Jul,59600
Food Bank Usage ,2010,Aug,60000
Food Bank Usage ,2010,Sep,70000
Food Bank Usage ,2010,Oct,67300
Food Bank Usage ,2010,Nov,70000
Food Bank Usage ,2010,Dec,68600
Food Bank Usage ,2011,Jan,62000
Food Bank Usage ,2011,Feb,61600
Food Bank Usage ,2011,Mar,68600
Food Bank Usage ,2011,Apr,62400
Food Bank Usage ,2011,May,64100
Food Bank Usage ,2011,Jun,64400
Food Bank Usage ,2011,Jul,59100
Food Bank Usage ,2011,Aug,64600
Food Bank Usage ,2011,Sep,67600
Food Bank Usage ,2011,Oct,67700
Food Bank Usage ,2011,Nov,73200
Food Bank Usage ,2011,Dec,68900
Food Bank Usage ,2012,Jan,69800
Food Bank Usage ,2012,Feb,67700
Food Bank Usage ,2012,Mar,69900
Food Bank Usage ,2012,Apr,64500
Food Bank Usage ,2012,May,71000
Food Bank Usage ,2012,Jun,63700
Food Bank Usage ,2012,Jul,65000
Food Bank Usage ,2012,Aug,66000
Food Bank Usage ,2012,Sep,60000
Food Bank Usage ,2012,Oct,66300
Food Bank Usage ,2012,Nov,68400
Food Bank Usage ,2012,Dec,54200
Food Bank Usage ,2013,Jan,63600
Food Bank Usage ,2013,Feb,57300
Food Bank Usage ,2013,Mar,63700
Food Bank Usage ,2013,Apr,61300
Food Bank Usage ,2013,May,63700
Food Bank Usage ,2013,Jun,57100
Food Bank Usage ,2013,Jul,58800
Food Bank Usage ,2013,Aug,58400
Food Bank Usage ,2013,Sep,56700
Food Bank Usage ,2013,Oct,62700
Food Bank Usage ,2013,Nov,57200
Food Bank Usage ,2013,Dec,54500
Food Bank Usage ,2014,Jan,56300
Food Bank Usage ,2014,Feb,54800
Food Bank Usage ,2014,Mar,59200
Food Bank Usage ,2014,Apr,64000
Food Bank Usage ,2014,May,65000
Food Bank Usage ,2014,Jun,58700
Food Bank Usage ,2014,Jul,63420
Food Bank Usage ,2014,Aug,58250
Food Bank Usage ,2014,Sep,61400
Food Bank Usage ,2014,Oct,59600
Food Bank Usage ,2014,Nov,61700
Food Bank Usage ,2014,Dec,54600
Food Bank Usage ,2015,Jan,55720
Food Bank Usage ,2015,Feb,54290
Food Bank Usage ,2015,Mar,61350
Food Bank Usage ,2015,Apr,61880
Food Bank Usage ,2015,May,60280
Food Bank Usage ,2015,Jun,60730
Food Bank Usage ,2015,Jul,60240
Food Bank Usage ,2015,Aug,57440
Food Bank Usage ,2015,Sep,58860
Food Bank Usage ,2015,Oct,64700
Food Bank Usage ,2015,Nov,62200
Food Bank Usage ,2015,Dec,60300
Food Bank Usage ,2016,Jan,59775
Food Bank Usage ,2016,Feb,60771
Food Bank Usage ,2016,Mar,72329
Food Bank Usage ,2016,Apr,67520
Food Bank Usage ,2016,May,68260
Food Bank Usage ,2016,Jun,70720
Food Bank Usage ,2016,Jul,59220
Food Bank Usage ,2016,Aug,68710
Food Bank Usage ,2016,Sep,68420
Food Bank Usage ,2016,Oct,65160
Food Bank Usage ,2016,Nov,71665
Food Bank Usage ,2016,Dec,60650
Food Bank Usage ,2017,Jan,65270
Food Bank Usage ,2017,Feb,62440
Food Bank Usage ,2017,Mar,74680
Food Bank Usage ,2017,Apr,62125
Food Bank Usage ,2017,May,68620
Food Bank Usage ,2017,Jun,68050
Food Bank Usage ,2017,Jul,61300
Food Bank Usage ,2017,Aug,66210
Food Bank Usage ,2017,Sep,60640
Food Bank Usage ,2017,Oct,64110
Food Bank Usage ,2017,Nov,69000
Food Bank Usage ,2017,Dec,51960
Food Bank Usage ,2018,Jan,62550
Food Bank Usage ,2018,Feb,57685
Food Bank Usage ,2018,Mar,66600
Food Bank Usage ,2018,Apr,60369
Food Bank Usage ,2018,May,68158
Food Bank Usage ,2018,Jun,60402
Food Bank Usage ,2018,Jul,60009
Food Bank Usage ,2018,Aug,67023
Food Bank Usage ,2018,Sep,61799
Food Bank Usage ,2018,Oct,70705
Food Bank Usage ,2018,Nov,71764
Food Bank Usage ,2018,Dec,62755
Food Bank Usage ,2019,Jan,68534
Food Bank Usage ,2019,Feb,59733
Food Bank Usage ,2019,Mar,72726
Food Bank Usage ,2019,Apr,67523
Food Bank Usage ,2019,May,74752
Food Bank Usage ,2019,Jun,67604
Food Bank Usage ,2019,Jul,70286
Food Bank Usage ,2019,Aug,66604
Food Bank Usage ,2019,Sep,68340
Food Bank Usage ,2019,Oct,77584
Food Bank Usage ,2019,Nov,70689
Food Bank Usage ,2019,Dec,56922
Food Bank Usage ,2020,Jan,71011
Food Bank Usage ,2020,Feb,68254
Food Bank Usage ,2020,Mar,76135
Food Bank Usage ,2020,Apr,79901
Food Bank Usage ,2020,May,85293
Food Bank Usage ,2020,Jun,84123
Food Bank Usage ,2020,Jul,100903
Food Bank Usage ,2020,Aug,98808
Food Bank Usage ,2020,Sep,106415
Food Bank Usage ,2020,Oct,109699
Food Bank Usage ,2020,Nov,99659
Food Bank Usage ,2020,Dec,108709
Food Bank Usage ,2021,Jan,106160
Food Bank Usage ,2021,Feb,102874
Food Bank Usage ,2021,Mar,123128
Food Bank Usage ,2021,Apr,113910
Food Bank Usage ,2021,May,112708
Food Bank Usage ,2021,Jun,124234
Food Bank Usage ,2021,Jul,113980
Food Bank Usage ,2021,Aug,112391
Food Bank Usage ,2021,Sep,116626
Food Bank Usage ,2021,Oct,116278
Food Bank Usage ,2021,Nov,126820
Food Bank Usage ,2021,Dec,120588
Food Bank Usage ,2022,Jan,111231
Food Bank Usage ,2022,Feb,127837
Food Bank Usage ,2022,Mar,160290
Food Bank Usage ,2022,Apr,143671
Food Bank Usage ,2022,May,151758
Food Bank Usage ,2022,Jun,171631
Food Bank Usage ,2022,Jul,153990
Food Bank Usage ,2022,Aug,182269
Food Bank Usage ,2022,Sep,186103
Food Bank Usage ,2022,Oct,188920
Food Bank Usage ,2022,Nov,208108
Food Bank Usage ,2022,Dec,184804
Food Bank Usage ,2023,Jan,209773
Food Bank Usage ,2023,Feb,215848
Food Bank Usage ,2023,Mar,267379
Food Bank Usage ,2023,Apr,227540
Food Bank Usage ,2023,May,270019
Food Bank Usage ,2023,Jun,266819
Food Bank Usage ,2023,Jul,239653
Food Bank Usage ,2023,Aug,274851
Food Bank Usage ,2023,Sep,246125
Food Bank Usage ,2023,Oct,252092
Food Bank Usage ,2023,Nov,284286
Food Bank Usage ,2023,Dec,234944
