Measure Name,Year,Period,Value
Number of Business Bankruptcies for the City of Toronto,2018,Jan,12
Number of Business Bankruptcies for the City of Toronto,2018,Feb,14
Number of Business Bankruptcies for the City of Toronto,2018,Mar,18
Number of Business Bankruptcies for the City of Toronto,2018,Apr,13
Number of Business Bankruptcies for the City of Toronto,2018,May,25
Number of Business Bankruptcies for the City of Toronto,2018,Jun,14
Number of Business Bankruptcies for the City of Toronto,2018,Jul,18
Number of Business Bankruptcies for the City of Toronto,2018,Aug,15
Number of Business Bankruptcies for the City of Toronto,2018,Sep,17
Number of Business Bankruptcies for the City of Toronto,2018,Oct,17
Number of Business Bankruptcies for the City of Toronto,2018,Nov,15
Number of Business Bankruptcies for the City of Toronto,2018,Dec,11
Number of Business Bankruptcies for the City of Toronto,2019,Jan,12
Number of Business Bankruptcies for the City of Toronto,2019,Feb,11
Number of Business Bankruptcies for the City of Toronto,2019,Mar,21
Number of Business Bankruptcies for the City of Toronto,2019,Apr,20
Number of Business Bankruptcies for the City of Toronto,2019,May,21
Number of Business Bankruptcies for the City of Toronto,2019,Jun,4
Number of Business Bankruptcies for the City of Toronto,2019,Jul,12
Number of Business Bankruptcies for the City of Toronto,2019,Aug,14
Number of Business Bankruptcies for the City of Toronto,2019,Sep,17
Number of Business Bankruptcies for the City of Toronto,2019,Oct,9
Number of Business Bankruptcies for the City of Toronto,2019,Nov,14
Number of Business Bankruptcies for the City of Toronto,2019,Dec,10
Number of Business Bankruptcies for the City of Toronto,2020,Jan,14
Number of Business Bankruptcies for the City of Toronto,2020,Feb,8
Number of Business Bankruptcies for the City of Toronto,2020,Mar,15
Number of Business Bankruptcies for the City of Toronto,2020,Apr,16
Number of Business Bankruptcies for the City of Toronto,2020,May,22
Number of Business Bankruptcies for the City of Toronto,2020,Jun,9
Number of Business Bankruptcies for the City of Toronto,2020,Jul,12
Number of Business Bankruptcies for the City of Toronto,2020,Aug,13
Number of Business Bankruptcies for the City of Toronto,2020,Sep,19
Number of Business Bankruptcies for the City of Toronto,2020,Oct,16
Number of Business Bankruptcies for the City of Toronto,2020,Nov,10
Number of Business Bankruptcies for the City of Toronto,2020,Dec,16
Number of Business Bankruptcies for the City of Toronto,2021,Jan,14
Number of Business Bankruptcies for the City of Toronto,2021,Feb,3
Number of Business Bankruptcies for the City of Toronto,2021,Mar,11
Number of Business Bankruptcies for the City of Toronto,2021,Apr,8
Number of Business Bankruptcies for the City of Toronto,2021,May,2
Number of Business Bankruptcies for the City of Toronto,2021,Jun,9
Number of Business Bankruptcies for the City of Toronto,2021,Jul,9
Number of Business Bankruptcies for the City of Toronto,2021,Aug,11
Number of Business Bankruptcies for the City of Toronto,2021,Sep,14
Number of Business Bankruptcies for the City of Toronto,2021,Oct,19
Number of Business Bankruptcies for the City of Toronto,2021,Nov,10
Number of Business Bankruptcies for the City of Toronto,2021,Dec,24
Number of Business Bankruptcies for the City of Toronto,2022,Jan,16
Number of Business Bankruptcies for the City of Toronto,2022,Feb,18
Number of Business Bankruptcies for the City of Toronto,2022,Mar,13
Number of Business Bankruptcies for the City of Toronto,2022,Apr,13
Number of Business Bankruptcies for the City of Toronto,2022,May,11
Number of Business Bankruptcies for the City of Toronto,2022,Jun,15
Number of Business Bankruptcies for the City of Toronto,2022,Jul,13
Number of Business Bankruptcies for the City of Toronto,2022,Aug,16
Number of Business Bankruptcies for the City of Toronto,2022,Sep,16
Number of Business Bankruptcies for the City of Toronto,2022,Oct,11
Number of Business Bankruptcies for the City of Toronto,2022,Nov,27
Number of Business Bankruptcies for the City of Toronto,2022,Dec,24
Number of Business Bankruptcies for the City of Toronto,2023,Jan,20
Number of Business Bankruptcies for the City of Toronto,2023,Feb,18
Number of Business Bankruptcies for the City of Toronto,2023,Mar,20
Number of Business Bankruptcies for the City of Toronto,2023,Apr,16
Number of Business Bankruptcies for the City of Toronto,2023,May,22
Number of Business Bankruptcies for the City of Toronto,2023,Jun,25
Number of Business Bankruptcies for the City of Toronto,2023,Jul,12
Number of Business Bankruptcies for the City of Toronto,2023,Aug,10
Number of Business Bankruptcies for the City of Toronto,2023,Sep,19
Number of Business Bankruptcies for the City of Toronto,2023,Oct,30
Number of Business Bankruptcies for the City of Toronto,2023,Nov,40
